technique,fs,at,cv,ng,oa,or1,or2
R2 adaboost,0.0 ± 0.02,0.12 ± 0.08,-0.0 ± 0.02,0.22 ± 0.08,0.01 ± 0.02,0.02 ± 0.02,0.02 ± 0.02
R2 bagging,-0.01 ± 0.03,0.1 ± 0.11,-0.0 ± 0.02,0.32 ± 0.11,-0.0 ± 0.02,-0.01 ± 0.03,0.02 ± 0.03
R2 decision_tree,0.02 ± 0.07,0.18 ± 0.2,-0.01 ± 0.05,0.55 ± 0.2,0.09 ± 0.06,-0.03 ± 0.05,0.01 ± 0.07
R2 elastic_net,-0.03 ± 0.04,0.1 ± 0.06,-0.01 ± 0.02,0.23 ± 0.07,-0.0 ± 0.02,-0.01 ± 0.02,0.0 ± 0.02
R2 ensemble_voting_bg_mlp_gd_xgb,-0.01 ± 0.04,0.1 ± 0.1,-0.0 ± 0.03,0.31 ± 0.1,-0.0 ± 0.03,-0.01 ± 0.03,0.02 ± 0.03
R2 gradient_boosting,-0.01 ± 0.05,0.11 ± 0.11,-0.01 ± 0.03,0.33 ± 0.11,-0.02 ± 0.04,-0.02 ± 0.04,0.01 ± 0.04
R2 mlp,0.01 ± 0.11,0.14 ± 0.11,-0.0 ± 0.04,0.34 ± 0.15,-0.0 ± 0.06,-0.04 ± 0.04,-0.01 ± 0.05
R2 random_forest,-0.01 ± 0.03,0.1 ± 0.11,-0.0 ± 0.02,0.32 ± 0.11,-0.01 ± 0.02,-0.01 ± 0.03,0.02 ± 0.03
R2 ridge,-0.11 ± 0.12,0.1 ± 0.1,0.01 ± 0.05,0.44 ± 0.14,0.0 ± 0.05,-0.07 ± 0.07,0.0 ± 0.04
R2 svr_poly_rbf,-0.01 ± 0.01,-0.02 ± 0.02,-0.0 ± 0.01,0.01 ± 0.02,0.01 ± 0.02,-0.01 ± 0.02,-0.01 ± 0.02
R2 xgboost,-0.02 ± 0.04,0.11 ± 0.11,-0.0 ± 0.03,0.35 ± 0.11,-0.01 ± 0.04,-0.01 ± 0.03,0.03 ± 0.04
