technique,fs,at,cv,ng,oa,or1,or2
RMSE adaboost,4 ± 61,-250 ± 149,6 ± 52,-447 ± 161,-21 ± 56,-35 ± 48,-93 ± 83
RMSE bagging,12 ± 99,-219 ± 255,6 ± 80,-816 ± 258,0 ± 78,20 ± 82,-104 ± 96
RMSE decision_tree,-40 ± 156,-304 ± 365,18 ± 111,-1078 ± 359,-168 ± 107,47 ± 107,-90 ± 139
RMSE elastic_net,75 ± 78,-222 ± 124,15 ± 64,-493 ± 139,8 ± 65,25 ± 56,-54 ± 61
RMSE ensemble_voting_bg_mlp_gd_xgb,17 ± 107,-222 ± 228,11 ± 84,-829 ± 229,7 ± 88,31 ± 84,-93 ± 95
RMSE gradient_boosting,9 ± 129,-236 ± 244,17 ± 88,-811 ± 240,39 ± 107,43 ± 100,-86 ± 115
RMSE mlp,-57 ± 255,-279 ± 210,5 ± 95,-742 ± 316,21 ± 119,87 ± 98,-31 ± 104
RMSE random_forest,9 ± 95,-220 ± 257,5 ± 79,-811 ± 260,28 ± 74,15 ± 81,-108 ± 91
RMSE ridge,206 ± 209,-181 ± 188,-23 ± 99,-860 ± 249,-1 ± 105,125 ± 125,-52 ± 98
RMSE svr_poly_rbf,21 ± 47,33 ± 54,10 ± 42,11 ± 57,-10 ± 56,30 ± 58,-32 ± 65
RMSE xgboost,37 ± 119,-244 ± 234,8 ± 84,-873 ± 233,27 ± 99,29 ± 81,-117 ± 101
