tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
bagging,1770.658326755624,696.5297642286141,1.5494684774000596,0.9596373740188378,0.7366863965950414,-0.2323715985218297,323.48355469858154,818.6777913475178,1.5498461919056612,0.08328750676585164,0.21036260359759976,1.5375715393450067,500
ensemble_voting_bg_mlp_gd_xgb,1742.8226490306613,595.9639146668202,1.9303774767751563,0.9703537753964738,0.7459260711064326,-0.23123603216067573,353.1685191665759,869.9738688315626,1.476544420984832,0.09330269609996855,0.22970533979557578,1.4656496634912255,500
svr_poly_rbf,3509.7619785469674,3512.390873167794,-0.00013366005648445255,-0.02443982264529021,-0.028495742904317868,0.45702575800498996,2754.6137247388006,2747.8190922951944,-0.0008261800663234897,0.6853029652776453,0.6824523749408595,0.00024964728056853236,500
gradient_boosting,1844.997165227948,222.5076194000115,7.672329329333309,0.9957803745858704,0.7144144120217303,-0.2825564630359009,76.48204160424503,783.6848978864775,9.374923006609736,0.02104012232523155,0.2005121894064928,8.607501199997674,500
decision_tree,2158.921382987023,1108.4927180223742,0.9592736227714589,0.8976498509687382,0.6077990520372252,-0.3226977576890671,394.25548893821485,904.8395320566636,1.3096628035132938,0.12396420036432634,0.2279851560743072,0.8578907008582242,500
elastic_net,2460.2848437016173,2170.067839527279,0.13441060309127448,0.6090062086360011,0.48725081283681393,-0.19903611909405453,1488.8735094149247,1630.7480020139506,0.09612611770720636,0.4054984584766285,0.43656164854799046,0.07816989467994898,500
random_forest,1831.6817060846195,1015.0514341148128,0.8092814061862835,0.9144565716173071,0.717991244086831,-0.214838960379584,497.2448786063131,908.5159428415163,0.8435449817980516,0.14885599291023283,0.24174020439381935,0.6348989342481586,500
adaboost,2508.2932814823753,2218.6518720402582,0.1311443237994144,0.5910322513336153,0.47462709891358895,-0.19642938157451614,1716.9967811883275,1846.968613658531,0.07578000499354762,0.4983854925439749,0.520423066292348,0.04539905511177407,500
mlp,2148.1067842030184,1584.781544483914,0.35740801572368897,0.7911128081880874,0.6060648723508667,-0.23400191040135082,1068.7806978597405,1351.4327050658633,0.26385555985006565,0.28251732724026857,0.3359728852688773,0.19008457834485665,500
ridge,2590.1736650670828,1230.8023014069252,1.1052821275077622,0.8739712526926631,0.4124175017469276,-0.5267936250635283,878.0393298929633,1719.579947336709,0.9605337107328271,0.22310203365200837,0.42570022349942993,0.9141441889089859,500
