tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
bagging,1907.2835990665722,686.1003188714077,1.8210883839473955,0.9608391887991287,0.6956685726662051,-0.2757807846473546,310.8923440651787,834.806504540467,1.7061377729063658,0.09043457862269183,0.2320399761740844,1.6073999300230124,500
ensemble_voting_bg_mlp_gd_xgb,1815.1325127025284,496.39385910071167,2.726554714575216,0.9794030630801196,0.7240090582370599,-0.2606044776533659,293.3154898785489,916.6923654730865,2.1705304575569184,0.07696429424774501,0.23885199776855187,2.125192297786375,500
svr_poly_rbf,3511.106276072,3517.0384365557657,0.0002583080946727545,-0.023738887302711342,-0.029191837024438838,0.15767569255486363,2747.471405233574,2756.92032976396,0.004370734341698057,0.6907660519344445,0.6923591254715806,0.006835634346970032,500
gradient_boosting,1991.8464533301653,1117.8543779363208,0.794771780605468,0.8965437103652526,0.669052361438184,-0.25352448160110597,683.9800140003334,1107.0487526815,0.6234868982217767,0.1865655387441865,0.30176071113940217,0.6317615251845099,500
decision_tree,2579.4808608514127,174.57310627141618,14.943215492035147,0.9971228217978373,0.4272696281108538,-0.5718455756464819,16.254053298139198,884.257761642882,58.87686431105626,0.003650933173430617,0.2106282634718994,61.44804232677253,500
elastic_net,2451.052253857871,2290.824522519393,0.07501531950722351,0.565777644098031,0.5003126769523062,-0.1137422082210637,1577.8340328428537,1688.0122066388763,0.0717574900915872,0.460669798061111,0.4882145150729776,0.06697081220445837,500
random_forest,1882.6644275800056,682.9798508010075,1.7935839488469985,0.9613216927097235,0.7035131995706758,-0.2679522981764994,310.2076820265658,827.5312623697479,1.6916489744012995,0.09031379224393002,0.22921334719176314,1.5570192352390986,500
adaboost,2616.631268912556,2342.7687129564415,0.12126061348209272,0.5456400832307151,0.4292758036914893,-0.21031779796514502,1853.114610950026,1977.4765431893873,0.06782279900822422,0.5395064144379665,0.5679271730045553,0.05387218653197821,500
mlp,2138.230335122748,435.5772836785295,4.053157972631657,0.98404053206348,0.6164369358596322,-0.3732456780413863,307.3305619848396,1220.0537036698745,3.061491992638037,0.05694095846480962,0.2720981974269806,3.822428382816814,500
ridge,2436.8516601859897,1313.6678615647932,0.8628059168813655,0.8571488029857715,0.503723905434309,-0.41194555945595923,949.1671687423684,1721.614826462702,0.8179713823770719,0.2545833707114963,0.4425230537603301,0.7495432994953279,500
xgboost,1930.4249458640302,205.7209397852153,9.356490517764751,0.9962092158722887,0.6878577976192558,-0.3094681327820307,80.78504125866775,927.4801804409963,10.766128253690487,0.02154638865701464,0.23965531542797716,10.639427078314977,500
bagging,1760.2079285548127,692.415604888519,1.5550976753011838,0.9602650156856957,0.7386090852960316,-0.23064140755135937,313.3906378834469,794.1065794202841,1.5431121515421062,0.08815405780490124,0.23916724269530562,1.7904349823842913,500
ensemble_voting_bg_mlp_gd_xgb,1755.5609916850801,510.1587757685469,2.5103566793076753,0.9782592944372418,0.7390083259996244,-0.24428227322897134,303.5522258256636,908.3696680741244,2.0594516633604636,0.07765946342764167,0.24609078302536574,2.3300677769485594,500
svr_poly_rbf,3518.006919049551,3518.721302611194,-1.2862166218230442e-05,-0.024365879440960025,-0.02843371312402585,0.258419611016978,2749.4088650284075,2749.023950110438,0.0006380029379140062,0.6910999436659274,0.6911254045881485,0.0027891514862184775,500
gradient_boosting,1857.023255397445,1124.2392798731912,0.6666797470360544,0.8951674202941138,0.7078321738027514,-0.2082012627341018,691.0844079993882,1062.1342840643865,0.5446610083029617,0.18958300795089406,0.29225500281568617,0.6157652087478838,500
decision_tree,2303.066587025808,174.81370788793777,13.561258488122348,0.9972219830314255,0.5550637110685794,-0.443472821752692,15.514845341001458,775.1543411764707,50.219406298912496,0.003383880871240262,0.20648399100578557,62.02169420219734,500
elastic_net,2448.150364119586,2295.236141829927,0.06783153811450345,0.5639873438997526,0.499768232066356,-0.11048738053570598,1577.874234731773,1688.9815326607163,0.07086524321175387,0.46025280114447203,0.4924866223528731,0.08254211193403534,500
random_forest,1745.5148930058936,705.5518482228435,1.4863579161300233,0.9587582765739844,0.7430115986231949,-0.22486147508332704,311.3163091950403,799.5719869586794,1.5800145393130702,0.08908227810655887,0.2384412975373443,1.7330360503343614,500
adaboost,2616.4137655674886,2350.8315842882776,0.11410945376878105,0.5426841797654763,0.42910762950676673,-0.2061604471998245,1853.493130833664,1985.5709068781355,0.07197647248662672,0.5391026723547244,0.5730430714200256,0.07253365478298741,500
mlp,2088.4387820800957,697.8751622264306,2.3710764758586644,0.9554712459100492,0.6294813031738309,-0.34198723052179636,515.4091138257835,1301.3061443244019,2.0572362885318167,0.08771569955807149,0.27016525828414156,2.320286235659687,500
ridge,2321.503198564351,1320.7571403918082,0.7655065610019738,0.855482954676156,0.5462325601545721,-0.36012944755495246,959.1130090150718,1671.4709288940285,0.747515542544933,0.25563491193063104,0.4427786375266377,0.7973269707088347,500
xgboost,1945.083909450282,199.23117308293817,9.49004780161648,0.996511595786646,0.682817985220961,-0.31481345853358816,73.23870688578091,956.6574036973368,12.42818611548736,0.019077289815736993,0.2679327481874293,13.265096586328664,500
bagging,1807.795161624295,708.4777045172291,1.5753214732450505,0.9584429954931932,0.7232701590874429,-0.24525822110485856,308.8655472339869,832.8579984309415,1.711470438461476,0.08921076043484415,0.2389929354344761,1.7271401509771078,500
ensemble_voting_bg_mlp_gd_xgb,1770.4880587328414,494.2606573879525,2.629935543056009,0.9797518274283454,0.7360139132908181,-0.24868192502355074,273.11896648505706,907.3635677139982,2.343380109517038,0.07609140334485225,0.25144379920567983,2.3530176259408835,500
svr_poly_rbf,3521.258019919246,3527.8066521245855,0.0004754952438698945,-0.030156064820593676,-0.04159670228148675,0.779038783488986,2746.054754096589,2754.1077771537407,0.004080830632514942,0.6844490004417978,0.6862852967196352,0.009840989694431878,500
gradient_boosting,1958.5979562989692,1123.2564517712788,0.7528161122285223,0.895557940848916,0.6782553170639487,-0.24243849222793495,682.4748277693495,1085.8809296622917,0.5967316256710549,0.18720712210588403,0.2994930299023405,0.6282702047210369,500
decision_tree,2484.736529649109,200.4166792949016,13.779661101476801,0.9964256456105647,0.4757479188208899,-0.5225047580309294,19.062300612692617,839.8492182387747,59.01343932041472,0.0042715455490992356,0.2282298428517394,114.13370388091948,500
elastic_net,2456.047864297551,2291.284925458555,0.0754053790663495,0.5654059750465988,0.4957249407232297,-0.12225025799163025,1575.3297023755295,1699.4196641024785,0.08009161912445936,0.45965890760656797,0.49327616200938473,0.08217909306811419,500
random_forest,1819.5137515928218,706.452964068049,1.6081349848373088,0.9586352416217899,0.7206775467726123,-0.2480308721596039,308.4781270808346,835.3223352685925,1.7313780553826827,0.08955675024834839,0.24079810848716754,1.7424469927321713,500
adaboost,2608.764204611608,2341.1815816712456,0.11600203568774632,0.5461267898105089,0.42952757746859627,-0.21314055261689518,1850.222675582454,1977.9859392908097,0.0694035132556923,0.5389512189067712,0.5666659781826296,0.06066866656391112,500
mlp,2069.0758858513223,515.0982339694413,3.2489344850790784,0.9768886980097843,0.6390972065828325,-0.345389722414083,367.3481748348812,1204.7915188141585,2.48290268800512,0.06661121812886085,0.2977962697390916,3.756640240216165,500
ridge,2453.342664255836,1315.677609516172,0.8811837546601294,0.8564530569092257,0.48658922923114645,-0.4298196090488185,952.5369786318706,1743.0666748498795,0.8394167849101294,0.254673788698297,0.45044380135668793,0.828871518668158,500
xgboost,1911.5615155550172,225.4816818417813,8.373581104745046,0.9956169437797101,0.6903355072674426,-0.30655618823221664,80.48518293405627,940.6382596771633,10.91407523800721,0.020695303300244834,0.25805253510940174,12.450259971032505,500
bagging,1776.4623486152516,705.0103874231434,1.5650351759953378,0.9587373296113293,0.7349483422830787,-0.23300417496979162,310.40242449716004,806.9004402018464,1.634362698403208,0.08980701696645792,0.23815799819355088,1.7088153399878059,500
ensemble_voting_bg_mlp_gd_xgb,1733.781088986819,494.4668176376672,2.517884232644641,0.9796944897161218,0.746535910105218,-0.23795748054292892,285.5971658139644,890.2764255205127,2.1191228931213195,0.0775551078828226,0.24041971532273254,2.1359572800798374,500
svr_poly_rbf,3509.5444846586047,3518.6701602518683,-0.0008653834426425311,-0.024357800343654912,-0.02573094724614635,0.2560498066518625,2749.8763820273766,2747.4730471957946,0.0005003642050869228,0.6909989433887425,0.6913373817693046,0.0031918181947642177,500
gradient_boosting,1934.6428824383595,1136.2351261290737,0.7129891935015218,0.8931536485878878,0.687973257151479,-0.2293783276989501,689.493258317817,1084.222343947958,0.5784485174607614,0.1883743306551473,0.28934293085057294,0.5452446501247248,500
decision_tree,2239.0236396807286,173.30188984342652,14.517945369196084,0.997200942978794,0.5715890845403409,-0.42669786085228223,15.810266315890676,722.0921949182039,50.0103810287544,0.0034503971611970705,0.2195779008175592,76.12196206333815,500
elastic_net,2440.0109305177784,2294.5795247707715,0.06651272209933264,0.5643029980859918,0.5045012675070122,-0.1038247831537888,1576.6746120375958,1689.9220896003385,0.07333277171118913,0.4600305275517759,0.49150789032262177,0.07515328717681191,500
random_forest,1797.5643262676626,703.5348154487817,1.597844350751941,0.9588713314132242,0.7275265036108658,-0.24086709840878298,307.45089705461584,812.0698548456069,1.6813620061128394,0.08775171703917255,0.23635511300732054,1.762070389051478,500
adaboost,2618.371431149785,2342.250366369507,0.12005476489926595,0.5459551105858804,0.4300786487084783,-0.2110731126784283,1853.5638543719244,1982.0034837343628,0.06969698796027306,0.5399530731172415,0.5695399867147704,0.06123994254924503,500
mlp,2055.5783962841074,609.0409714392757,2.9260057530454593,0.9649050662957794,0.6383042210914909,-0.33871488846728737,462.93570883613074,1266.4571978891622,2.4371028224998774,0.0844867505850776,0.2883102131690227,3.1009954917976708,500
ridge,2457.8179218677515,1312.2646470094937,0.8830812104866055,0.8574143588969928,0.4959766206567002,-0.42074489511377633,948.7645270358283,1756.9243131284045,0.8616850768663638,0.2557327676605817,0.456259686458257,0.7976831657297966,500
xgboost,1858.6096590992904,203.85055860932556,8.852966159505215,0.9963703956153971,0.7077270221202256,-0.2896267066686833,78.18846264494479,909.7143302550483,10.673365479360882,0.020246354253639402,0.2539487401320065,12.105623510062895,500
bagging,1831.576004794107,709.0351471354005,1.6278258215574994,0.958258952149229,0.7203399544221352,-0.24796722603352173,314.0058160269083,815.8336962654599,1.615259146267387,0.08872979561609351,0.2354545693797656,1.6805299253721189,500
ensemble_voting_bg_mlp_gd_xgb,1796.8495676161976,485.69460358167345,2.7609160721538784,0.9804333062653996,0.729745823610585,-0.25553705698206397,280.19760758315823,903.1757220535013,2.2522838801461087,0.07659088918872273,0.24424056104030006,2.212549598018967,500
svr_poly_rbf,3516.9597597815286,3518.42498912613,0.00022658850751371417,-0.024104674557344018,-0.026510160633939205,0.12865752160286506,2749.554646877628,2748.564442218333,-0.00011404258796587907,0.6912541578922349,0.690268023729031,0.0029105740239548927,500
gradient_boosting,1922.283901315074,1127.1004313294795,0.7170212084620038,0.8947420499741934,0.692209239202124,-0.22583219360536474,689.4934293266473,1074.5689397957813,0.5604358701564769,0.1890018663841877,0.29378208683330725,0.5825720501906252,500
decision_tree,2498.013689128603,171.76503319478496,16.950362530058687,0.997241876256026,0.47892235674106975,-0.519666393721479,15.515282354277923,890.1947851722938,72.62662172816263,0.0033839691567506595,0.2617569101680429,90.19614968702675,500
elastic_net,2435.2667663340203,2296.573283038257,0.06221049376940433,0.5636908439717013,0.5080345412256275,-0.09756620649869323,1580.8632351010533,1672.0059836267876,0.05772091630619234,0.4611141175000304,0.4875521757127933,0.06625932016057401,500
random_forest,1830.4498081184734,709.6680535507928,1.6122604402683105,0.9582255456325595,0.7205190822300243,-0.24781701552532578,312.7275453499582,817.4448665884341,1.6335063536028727,0.08948987323127884,0.2377124650387814,1.6669448076103617,500
adaboost,2642.211684503415,2360.9888431125464,0.12185807870205312,0.538745701121641,0.42106251613085455,-0.21581378332346776,1860.9623912992035,1989.8390640113298,0.07096591203117977,0.5396030194465793,0.5686617941875873,0.055638899701006085,500
mlp,2054.6442553049646,374.0398183581657,4.861145006631844,0.9881475604886336,0.6451121676626611,-0.34684565551889934,249.442917883372,1166.0019499340995,3.8684953011786307,0.05024618376406363,0.27495660382848863,4.613773383361423,500
ridge,2387.931021610309,1320.4485427655604,0.8164652893477544,0.8557303282888318,0.5269039207748316,-0.38370183329941676,952.6498969391189,1694.6254213959237,0.784327318830677,0.2549274102574177,0.4538240447979738,0.8008671546272591,500
xgboost,1940.2703476804115,197.6354943538174,9.988381171024468,0.996528029865124,0.6848170529378494,-0.31275359103233846,72.9498954834855,942.8392707672662,12.189957429548958,0.0191966878295561,0.2568552140111529,12.579187673478648,500
bagging,1891.0732600959134,693.6072280064693,1.7457074403501842,0.9601392783451933,0.7018160594405455,-0.26889569232808724,308.6180917503422,840.8312495773456,1.730846875082431,0.08961732733156705,0.2339395893717197,1.652385170177875,500
ensemble_voting_bg_mlp_gd_xgb,1835.0799215439529,503.6507972778604,2.66626970010064,0.9789737099038591,0.719237133220002,-0.2652917112425349,292.50291825300525,903.1772352685975,2.098420766318232,0.07857056022701407,0.237464756381274,2.0894230050655564,500
svr_poly_rbf,3522.8363426051837,3525.355580138449,-0.0001560674389572414,-0.02808393871114796,-0.029209971423523263,0.0729184805724348,2747.553772203198,2747.8105614283104,0.00031993547172515235,0.6848265173901147,0.6849098066337548,0.005769252321161922,500
gradient_boosting,2024.1227759288668,1130.1937918192948,0.8011738359645127,0.894124037729546,0.6581566988108954,-0.26348939236581553,683.8829360294316,1079.3970883907525,0.5808896053522643,0.1887515033052551,0.29124349920920456,0.5618368400525613,500
decision_tree,2571.5763660469,175.72443638965893,16.218371204166647,0.9970900089530831,0.4339489742528137,-0.564856997341774,17.13769414314807,910.5560953706927,61.97040499805805,0.003564348593748662,0.1991861940532973,78.6899885676671,500
elastic_net,2456.426320927091,2293.326363122188,0.07360539478253703,0.5648906164432974,0.4995691615623996,-0.11302943396493355,1576.7377561227418,1689.605238581778,0.0723793614692827,0.4600982726506122,0.4906442439265545,0.07355282683901021,500
random_forest,1855.2538517487985,693.8487648127933,1.6977344140708688,0.960078733426118,0.7133196433540294,-0.2568184439271782,308.02856435241915,825.4080719622759,1.6852392275609076,0.08730825713114991,0.22974921997501957,1.677612444168331,500
adaboost,2616.2109072575226,2351.9422806026087,0.11417943897461239,0.5422408231712128,0.43199605925150547,-0.20052880849551272,1862.2246757362493,1974.620406819192,0.06141592341174629,0.5424366176991875,0.5637030893568502,0.04427137555523044,500
mlp,2124.8578860451553,399.0845592744423,4.486167509673621,0.9864185580540316,0.6230511174130484,-0.3684409651734379,269.86318525254256,1206.493733546174,3.6413100885131655,0.05385283332501377,0.2813743625391708,4.559754827485577,500
ridge,2469.45272185142,1307.4723643130842,0.89470272300829,0.8585244477217696,0.4938124247119857,-0.42439833211732586,947.5323592797802,1771.620251117599,0.8727227016045316,0.2551336185541574,0.45474567970402047,0.8096933521490877,500
xgboost,2014.4059543982669,214.12908119710937,9.04821838265979,0.996007456706475,0.6617229195591919,-0.33561668220784346,85.46596953839712,972.0219100428474,10.432597128523105,0.0228835540528917,0.25205424857085545,10.482346653007125,500
bagging,1760.6110540375382,696.9009028858538,1.5249104817038817,0.9597298687750906,0.7394034902790552,-0.2296628408307842,307.0626219355901,801.0049172634876,1.6108847023160358,0.08692322002366581,0.22713199261946895,1.6167672848855688,500
