tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
bagging,2200.368546423379,920.9037372152817,1.3893578204786827,0.9285417083586104,0.5172483670431679,-0.44294546772970333,569.0959301775149,1444.4714705882352,1.5381862599819844,0.14750488199354506,0.38211606387478125,1.5905316401087184,500
ensemble_voting_bg_mlp_gd_xgb,2246.9547103042023,868.640461912751,1.586748843539243,0.9364223796092154,0.4965903542156298,-0.4696940557712159,636.9867595017771,1550.4523574463612,1.4340417352772867,0.1949153181063771,0.4449272441279862,1.2826694610280058,500
svr_poly_rbf,3228.6908012609447,3514.1963060185694,-0.08124347073857408,-0.04058172452072739,-0.03940740807297227,-0.028937076026804398,2773.3173406050346,2573.8548189867643,-0.07192199706029856,0.6793272235517147,0.6506637318906435,-0.042193939337820674,500
gradient_boosting,2287.5061892872063,303.0498982754088,6.548282320188549,0.9922615773922453,0.4782560153179025,-0.5180141746747835,166.6406102750978,1465.5354025318948,7.794587346460885,0.053749331395796025,0.4001965103940396,6.44560908948052,500
decision_tree,3136.8050906619987,1311.5098562039402,1.3917510614378674,0.8550670019932838,0.018912001101892617,-0.9778824337065913,801.9673572950275,1957.7363266019051,1.4411670983781621,0.2733037903778199,0.5245768957400242,0.9193912203516827,500
elastic_net,2538.0402116381415,2477.9894632135706,0.0242336576954989,0.48260399727722736,0.35771187552068573,-0.2587879969108472,1854.5990294312414,1838.6791796626167,-0.008583984740629935,0.5010877997501348,0.5053846474638068,0.008575039575528631,500
random_forest,2282.828439441695,1246.0251939301036,0.8320885087735646,0.8691788972642959,0.48038767507991675,-0.4473086304880194,877.1839135986941,1528.860747986109,0.7429192718706794,0.2750704958868027,0.4085318602227597,0.4851896743985191,500
adaboost,2788.0493018115058,2421.9510267305877,0.1511584136261901,0.5057406737404758,0.22494273132920772,-0.5552211973272323,1863.7745916655435,2113.0464873587835,0.13374573127455314,0.548065264777095,0.5723759428989891,0.0443572685303848,500
mlp,2513.3283763930785,2190.9670462228123,0.14713198481283007,0.595521120271815,0.3701583672296812,-0.3784294886792109,1632.6608537150382,1846.1547686857884,0.13076439879412516,0.43077575832234205,0.4695661103796529,0.09004766704695744,500
ridge,2878.742410061858,1708.9913475061444,0.6844686863176224,0.7539043788331699,0.17369856508112247,-0.7696013314712954,1239.1614283343533,2150.79595534107,0.7356866556378461,0.32092914526333205,0.5527489295628359,0.7223394562973979,500
xgboost,2613.232839308353,229.09271048818783,10.40687904796121,0.99557771528775,0.31909094548585615,-0.6794916754503391,49.09121159119013,1709.955616727941,33.832214592047436,0.012437028622341311,0.4655632051848068,36.43363622630009,500
bagging,2444.3133747444763,917.1412447280849,1.6651438791951496,0.9269546800735533,0.47466373069808765,-0.48793210617327765,569.854033530572,1682.0793070588236,1.9517722225064884,0.1467953044058895,0.4609125798681168,2.1398319022091603,500
ensemble_voting_bg_mlp_gd_xgb,2404.5563307133843,876.2958443600328,1.7440006091429714,0.9333160294846572,0.4916140630649565,-0.4732608810582545,634.2259442120818,1754.3292491965783,1.7660950568271612,0.17498805893461222,0.49940959603200985,1.8539638594346841,500
svr_poly_rbf,3467.1086708561443,3433.9015500333207,0.009670376491283328,-0.023989789210321355,-0.056959935632188374,1.374340813619236,2700.419093769908,2869.9761315895103,0.0627891567685861,0.670736193876222,0.7438539921960473,0.10901126104031089,500
gradient_boosting,2375.3244291686074,224.71090924615214,9.570579048152204,0.9956150135010009,0.503899701991933,-0.4938809729073793,163.0834855807848,1670.7755794659572,9.244909676267154,0.05207727126273503,0.47978292103816267,8.212904390047818,500
decision_tree,3041.5690099427416,1236.021890618933,1.46077276869238,0.8673301398539686,0.18657228321585573,-0.7848889659855834,796.5624671466414,2015.1121438907344,1.5297603477465462,0.2698296252999181,0.5666012559410271,1.0998482109265968,500
elastic_net,2941.852213114532,2385.0451843204023,0.23345764367679545,0.5060156744417155,0.23903388109267165,-0.5276156586327162,1734.8641034258483,2284.7801112226202,0.316979299249347,0.45901995573828897,0.6151250332687094,0.34008342247199375,500
random_forest,2481.549635637873,1210.6557798523202,1.049756567420494,0.8727196660786595,0.4585360464678161,-0.4745895339701356,855.6928760714898,1753.5195764269727,1.0492394239361098,0.2694154452945803,0.48819285676306035,0.8120448002870351,500
adaboost,2869.952328820191,2514.0487661422944,0.1415658946123053,0.451132719848209,0.27577588244615336,-0.38870343401617446,1931.3009808758652,2267.972208968724,0.17432354222705082,0.5663141138127599,0.6538511565761929,0.15457330239234568,500
mlp,2936.117396741418,2650.671528571815,0.10768813302318203,0.3898568034159008,0.24199782834292616,-0.37926483205485606,1995.3898504208257,2313.5328395934216,0.15943901343664746,0.5606250480430506,0.655087780216851,0.16849538297216182,500
ridge,3417.379736958752,1569.178850021132,1.1778140438948248,0.7861718697966901,-0.026857305733935632,-1.0341621301470392,1127.2179344504086,2621.8064072693696,1.3259090608309645,0.2839148906428127,0.6640286745022257,1.3388300381103506,500
xgboost,2506.0704954914986,102.47015225300284,23.456589947323508,0.9990881682516399,0.4477824760914876,-0.5518088489876853,60.39109195506079,1720.3892032398896,27.487466405146208,0.016042160378408884,0.4912096480613646,29.619918793635975,500
bagging,2614.0726693448732,855.1649027979688,2.0568053726153015,0.9345669816668938,0.46285307900613437,-0.5047406038456552,562.4666378698225,1835.0232211764703,2.2624570021185306,0.15160238645234678,0.44601240748690696,1.9419880380781618,500
ensemble_voting_bg_mlp_gd_xgb,2500.0438468506486,816.5038675669003,2.0618885545521404,0.9403495520208203,0.5086929129539395,-0.4590384906753521,587.3453321541189,1781.2147900855398,2.032653351568904,0.17602070489611163,0.4485436467091382,1.5482436681177427,500
svr_poly_rbf,3679.042999196301,3401.1218577777636,0.08171454979861448,-0.03500298424105397,-0.06396540026735376,0.8274270509864305,2682.8006986748564,2933.751367955802,0.09354055610798828,0.6791084658808633,0.6513609003928817,-0.04085881251972101,500
gradient_boosting,2635.3122463470463,290.8458378622744,8.060855970010333,0.9924312715557756,0.4540888834408119,-0.5424480299487503,154.34286141081313,1829.3308055480154,10.852383640075848,0.04991603118039427,0.42929789396263934,7.600401189973944,500
