tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
bagging,2424.777850460271,919.0604747217491,1.6383224141962875,0.9324668320807514,0.4224703412488281,-0.5469325806408498,584.5228487588653,1480.4289695035463,1.5327136016102454,0.15894456863395703,0.3312517900372021,1.084071150616425,500
ensemble_voting_bg_mlp_gd_xgb,2409.575725469322,710.4684002304255,2.3915311711088445,0.9596430369608443,0.42968927554963654,-0.5522405113150747,518.2363390934495,1545.8016025134534,1.9828120606469302,0.13942424432163253,0.3557989342744158,1.55191581640304,500
svr_poly_rbf,3190.6151851465743,3544.7912588662293,-0.09991450775381772,-0.004639562122087826,4.781146354082555e-05,-1.0103051672297276,2840.2471213373333,2526.102660284941,-0.11060462263737003,0.745739181998553,0.6240553950535268,-0.16317204443907352,500
gradient_boosting,2502.3054190588155,244.4731450891142,9.235502219054313,0.9952215035957225,0.3849491649086022,-0.6132025247467163,164.58248674857765,1530.8600453375711,8.301475968558975,0.053379100365841974,0.3573327624063118,5.69424475042247,500
decision_tree,2900.3373811389906,1566.8871402122572,0.8510186896716112,0.803707196988205,0.17371965963881564,-0.7838520542184904,960.4670835480343,1783.2016068826315,0.8565983545165929,0.3371699854994026,0.4466366835574103,0.3246632344687208,500
elastic_net,2747.682049402317,2549.4538915474195,0.07775318412782917,0.4803352388220983,0.2584109089013593,-0.4620196728954401,1897.5189975420972,1978.3600316016268,0.042603543977290936,0.5093193806413623,0.46112963585479544,-0.09461596518452475,500
random_forest,2431.674646633979,1359.6797702239594,0.7884171698998259,0.8521905447977505,0.41918033353764983,-0.5081143107060246,1000.9345604719729,1530.0992612455536,0.5286706261037311,0.3218924723679502,0.37007866847449955,0.1496965609418428,500
adaboost,2721.0871485268326,2586.700379896924,0.05195297053896275,0.4650401382414181,0.27269716234915276,-0.413605106474516,2008.0357001245504,2005.99097444578,-0.001018271576866736,0.5888326449069626,0.5167381300347755,-0.1224363416256894,500
mlp,2652.1188033980193,2359.190460751414,0.12416477072109999,0.5550051844327717,0.3090981923134025,-0.44307152260332827,1719.1512098432645,1858.7289566113843,0.08118991858828117,0.456619804156507,0.4355698148151843,-0.046099597848602625,500
ridge,3054.7356969453845,1578.8692565422468,0.9347616557151242,0.8006935834075993,0.08340462898802814,-0.8958345230730164,1204.6975156562185,2253.2585836427743,0.8703936501565601,0.3125062345472067,0.4955544713386556,0.585742671843553,500
xgboost,2630.3743464685167,141.9135735366171,17.5350441181711,0.9983898111439152,0.320381018238342,-0.679102275822244,65.92966630002284,1688.7354320769614,24.614196565050356,0.017610255139516657,0.3868323596179481,20.966312046775112,500
bagging,1977.2470759883417,1009.7803904044262,0.9580961313741065,0.9176338970309712,0.6341407383203803,-0.3089392835507063,623.6131598404256,1367.2464258865248,1.1924592262234892,0.15990816177609316,0.32152157469357817,1.0106639406172375,500
ensemble_voting_bg_mlp_gd_xgb,1838.3388793643207,797.6097447968929,1.3048099541868612,0.9486103622938875,0.68374069353429,-0.2792186120749318,572.7651173665674,1310.7616022872182,1.2884801510150905,0.15080639605814108,0.30736259377806735,1.0381270411075167,500
