tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
bagging,2973.2664595381516,1132.7317154197876,1.6282729087141934,0.8934528927531309,0.26307818046562126,-0.7052892919293464,767.3847977634244,2058.488309503546,1.6867631707681787,0.19881837005842345,0.5423061999686134,1.7561399975416065,500
ensemble_voting_bg_mlp_gd_xgb,2869.0616177044944,829.7044415014043,2.7318609354764707,0.9402079809595264,0.31294387467461804,-0.6667318510670708,603.1306361890739,2038.2014737480008,2.689666000241647,0.15033549120809137,0.5332186700979165,2.8947337754211513,500
svr_poly_rbf,3511.6189130880316,3505.6389961535074,0.001840653875367404,-0.020042580419199728,-0.027034670246464377,-3.753848088895348,2755.6120117100218,2752.2220652159153,-0.0008014006688529252,0.6886254833651185,0.6927983803628017,0.0062893976100877325,500
gradient_boosting,3071.8002102781807,387.5963467427091,7.261320703458004,0.9870768004862123,0.21072937402794478,-0.7867001814089316,270.82413548870255,2132.5476221513795,7.126619495481205,0.07621480349750465,0.552411821219664,6.655299267300532,500
decision_tree,3765.47220932122,1819.6957501866423,1.0848074154885465,0.7245671387692418,-0.18746977099894793,-1.2527519558302547,1086.9200087108213,2518.7563160423206,1.3316993584928047,0.33170601764732827,0.6460497708693396,0.9536553567721064,500
elastic_net,3113.9861861753243,2905.936842946863,0.07237489469622418,0.2991382019373493,0.19202901169810743,-0.3514408438976722,2219.1902124612566,2377.0207300574266,0.07138709797923068,0.5855756451804431,0.6272142987781628,0.07763437927974526,500
random_forest,3022.9827817379955,1651.3250226180267,0.8313834888747488,0.7736273598647688,0.2386147518911673,-0.6914396585861795,1217.0248484287126,2162.765252930568,0.7781433815761849,0.3545461045372217,0.5796044977240141,0.6518604237154246,500
adaboost,3228.1766595838008,3010.9465472687225,0.07270883019734775,0.24759910982248945,0.13186073273964552,-0.4654904719025866,2450.7640373572317,2566.1215015773687,0.04722116645136305,0.677636019852502,0.705113974483971,0.04378702974338862,500
mlp,3222.647339242141,2510.2308433249937,0.30472529409792115,0.4686201847194277,0.13456076597191172,-0.6745304892886563,1887.7137388436058,2430.185969015094,0.30223980580962045,0.4718258185516181,0.618899396519231,0.31101200339311363,500
ridge,3489.380979963408,2079.807246675203,0.6806577646531962,0.6409125418193256,-0.015309741803426013,-1.0213342463947301,1530.2205411865057,2676.8631550009577,0.7500120271897289,0.3665110184070305,0.6586714262968465,0.8004454462247456,500
xgboost,3004.707651855264,192.2511344152766,17.89192356179649,0.9965716391545817,0.24357173115931854,-0.7554420659138283,68.9487800017012,2083.4409308121053,32.65533081549029,0.017186418890693708,0.5430735416114679,35.66521372424789,500
bagging,2947.686996578644,1137.0076398836493,1.6075367519682366,0.8926446027914686,0.26832375922354673,-0.6988803885883632,766.1624503318137,2017.7439733738604,1.6444524867863848,0.20068566608210187,0.5294344751312957,1.6523355630332364,500
ensemble_voting_bg_mlp_gd_xgb,2872.9276089501845,892.1934922210601,2.242878752027723,0.9335191189752493,0.30804505727464804,-0.669801756601428,644.9251722379654,2019.1942767522883,2.15028445021771,0.16437043879465701,0.522328729910469,2.2061074375289738,500
svr_poly_rbf,3491.7823218697245,3500.9997458375537,-0.0005574330511098679,-0.01780033070247309,-0.022218179242734372,-6.371413279259203,2755.6730263424515,2758.954273158737,0.004342139851969762,0.6936053314486339,0.6915906488570884,0.004591996632753293,500
gradient_boosting,3113.8038748236495,375.37603998309015,7.522302831563286,0.9881954701022015,0.18405776426177384,-0.8137521244650013,260.4574957833047,2111.829076101495,7.307253279045464,0.07243293988128481,0.5433080226012793,6.763813372271694,500
decision_tree,3638.9477691803113,1847.9417799558457,0.9909392259947338,0.715397628739485,-0.12880115692063399,-1.1757451378277528,1084.823718712671,2424.5570728939088,1.2551051592894862,0.32580397724461874,0.6166535332460246,0.9133694642742931,500
elastic_net,3092.597443327998,2908.751343387062,0.06544945459253397,0.29736928095251036,0.19584093502882371,-0.3338888734936222,2224.775636568541,2362.280714826289,0.06305693887432458,0.5869949729804744,0.6226804678847254,0.06264408852127563,500
random_forest,2968.7979747284257,1665.9424154443454,0.8043242055696538,0.7691137076366453,0.2583662038268867,-0.6606997229227198,1213.6304925635343,2093.510921102539,0.7385428519352866,0.3574442970971873,0.5577699086323886,0.5734718687295001,500
adaboost,3194.7117089528433,3006.1057111808946,0.06712616675158797,0.24969949206808031,0.14331852328336056,-0.4065127802285078,2454.540250084889,2541.897602126746,0.038873401051320575,0.6770737935655567,0.6910293709660806,0.025744492955257735,500
