tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
elastic_net,2781.7397531698634,2419.1946138581106,0.15139116164686223,0.4851553524652421,0.35330326113504806,-0.265996839475508,1790.3806889765826,2011.278994572891,0.12444703923377864,0.4938688502600712,0.521915591586733,0.05882588946144749,500
xgboost,2683.0229220037945,165.71021391740402,19.262983722711805,0.997181735936566,0.39723645293515475,-0.6015591173985735,45.574367573935604,1754.0136517983294,40.17421625081444,0.012102281033228782,0.44415420640811554,38.77068060170118,500
bagging,2498.597029719045,875.6759523095428,1.8579384048006742,0.9325043348607294,0.47669209219291275,-0.4885676999501574,572.6136018145957,1614.5748631205674,1.823484447623804,0.15731511372090928,0.4153174251267779,1.65325848696444,500
random_forest,2524.8848830897828,1147.7305090121051,1.2058597396140889,0.8839355695041625,0.4658834663350874,-0.4724060235483621,833.1605842528033,1656.6144911363858,0.9935058021518686,0.2652749844172523,0.43112257361083284,0.6332348364765604,500
mlp,2801.7743223360767,2594.4032728713833,0.08115968494027284,0.4071635426670627,0.3415795078267444,-0.16066936369467383,1915.155176367989,2027.734101438546,0.05830848429817868,0.5238992461922078,0.5311195318369348,0.010463076747388134,500
decision_tree,3026.330220809839,1086.3417255746301,1.7881854576193006,0.8958515401168959,0.2295696654026102,-0.7455150485452025,680.6650691286211,1830.107210704725,1.6902307993587324,0.24408783041538268,0.4580862132384185,0.8722168201827474,500
adaboost,2843.338000455022,2526.753735696136,0.12660587394342296,0.43819954846639303,0.32451314733458825,-0.25020931145120073,1946.3393278241208,2075.927258953314,0.06848179579038638,0.5778599704471636,0.572625389608233,-0.0038078992330012884,500
svr_poly_rbf,3562.320273190181,3442.007515941448,0.03504656683311493,-0.04229731840512496,-0.05772647752940454,0.4224876449700076,2702.40019195561,2730.507884914676,0.010474161018166872,0.6717301291024247,0.6495778479898122,-0.03414121082114687,500
ridge,3449.671823844571,1588.1747464382493,1.1769729079965343,0.7779720474725307,0.003913248742365427,-0.993652426671569,1168.1990606326779,2540.369198702494,1.176984620949615,0.2940908846810884,0.6243076040156208,1.1264995561360889,500
gradient_boosting,2622.8200016311116,249.91146810763476,10.007661724777538,0.9942947729381221,0.4234014876583433,-0.5740464896901588,147.15707139472568,1634.9981099536694,10.188044744910126,0.04723493478118783,0.41141709962225886,7.807852129982176,500
ensemble_voting_bg_mlp_gd_xgb,2481.36618159851,767.6478855482962,2.2423075320125854,0.948041979939547,0.48416201856242713,-0.48941844746543967,548.8564744373055,1643.1245206113113,2.0017877689570702,0.15066040084570492,0.4264982296184091,1.8323360317478845,500
elastic_net,2830.998575753415,2420.5972534948573,0.17140120469695144,0.4818377957898292,0.321537795630721,-0.3237533627288439,1790.770619256836,2013.6756564975447,0.1260266949753066,0.4928467942481679,0.525559628971871,0.07743795244024443,500
xgboost,2582.4795097079777,172.39932214692976,16.218245497864903,0.997113059904444,0.4393981520869395,-0.559377344550632,49.619233854575974,1729.8621990317486,35.78601121812929,0.012813959581366307,0.4381111642412934,35.54856478889788,500
bagging,2421.7807640782207,891.4156852536692,1.7213324509488743,0.9296823163236285,0.5053090896195155,-0.4564124764215684,587.0245121104538,1606.635324964539,1.7400448067305927,0.15675556642492733,0.41162491512444727,1.6604810943028974,500
random_forest,2418.31606215725,1126.7491887194014,1.1494955338637458,0.887707736788971,0.5076053678322401,-0.4278328177494643,818.5575278782896,1624.830188043992,0.9878114884629386,0.26057429070981264,0.4287878082544593,0.6684194228878668,500
mlp,2889.9113491271205,2257.6398509609185,0.2935312870002926,0.5407283696208546,0.2950268031361639,-0.40674962598859554,1676.4773895008911,2007.833166799796,0.21978450894252372,0.4527624294180936,0.5160774596543641,0.18662338154583094,500
decision_tree,3131.426310564063,1109.162355785828,1.8225732153527658,0.8909380221866818,0.171112477246013,-0.8098958268071511,692.0927401098922,1938.2561076149352,1.7995353666189289,0.2361740621268112,0.47155714991779973,1.0045161889611987,500
adaboost,2809.8754422962675,2500.2291433071296,0.1275729025967646,0.44687327620566125,0.3369418275898227,-0.23633925699937858,1930.6206354645255,2054.8087324152775,0.06825177413346457,0.5735157057982663,0.5682791364268122,0.008226525501930149,500
svr_poly_rbf,3573.2674350666152,3442.278706435443,0.03837052188003025,-0.04788723055487933,-0.06913617825468062,0.39751822354464184,2687.025851748371,2736.563676284045,0.020218279457741174,0.6622229209601905,0.6404313175307842,-0.022458302400236985,500
ridge,3414.5733281390094,1588.0453844591661,1.151860374160701,0.7769915454516366,0.014993777278504728,-0.9795808490794495,1168.8706188969186,2496.3344896361327,1.138853694213454,0.2910145584877159,0.6262200690264768,1.1570834567558026,500
gradient_boosting,2550.858321925289,257.0525358025751,9.463229364417987,0.9939186693483799,0.4540233788660932,-0.5431845804926019,153.02735199492616,1620.6022179950219,9.999443676754343,0.049195337454963975,0.4108887333474859,8.00895267865057,500
