tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
svr_poly_rbf,3441.428195422892,3511.1936019644672,-0.019869427451264077,-0.028363476906340557,-0.01307543297516478,-0.5390045790810007,2769.6649085577665,2720.62894121442,-0.017704657047801664,0.7029556839058699,0.68103883808689,-0.031178133018574083,25000
mlp,2305.7696248071925,1004.7242021921675,1.294927921290565,0.9157963691378693,0.5452254150630321,-0.4046433973348166,659.5826043585929,1805.0031658970604,1.736583945618646,0.15390761719840793,0.4662870179055283,2.0296552334016105,25000
xgboost,2142.8801788378933,230.87436035488267,8.281585774808512,0.9955538050460502,0.6072102607728753,-0.3900779066935631,27.05258417975973,997.4979336511948,35.872556315618276,0.006686953338935004,0.310357252031378,45.41235496953639,25000
ensemble_voting_bg_mlp_gd_xgb,1912.3764782524029,343.2958840441511,4.570636197917401,0.99016952995997,0.6871680185356667,-0.306009730916031,161.69537537325922,1090.0898140833717,5.741626416754329,0.04326499861289223,0.3298243535127855,6.6233529200785295,25000
adaboost,2490.76659021766,2360.5013707859157,0.055185403001216216,0.5352219548839994,0.46932280833108353,-0.12312489417067807,1838.635454730066,1917.0980136211465,0.04267434237125589,0.5475960665037044,0.574306670216024,0.04877793203092495,25000
random_forest,1972.3069858775366,763.1862404287618,1.5843062694231551,0.9514154533461019,0.6672535852490202,-0.29867274816452916,361.4807790959061,1013.015724194053,1.802405501968018,0.12217271640280629,0.31630290898702823,1.5889815525110382,25000
ridge,2387.3296352374855,230.9654171078303,9.336307769067082,0.9955502971995107,0.5124837040358861,-0.4852257033346221,28.604482848488733,1854.7060138149484,63.839697457174566,0.00719466851251625,0.49155700133270525,67.32239740824265,25000
gradient_boosting,2145.2215153759466,232.61435388011458,8.222223304764576,0.9954865346651242,0.6063514583169718,-0.39089938718162087,42.41140845257899,1015.1077836256762,22.93478124549171,0.011157359905266114,0.310017621791067,26.785930042889728,25000
elastic_net,2238.406119706672,1123.0812299716874,0.9930936961372792,0.8947894165731796,0.5714099071792196,-0.3614029216309049,811.4209562760344,1724.7772452575045,1.1256257087236956,0.2269021270620248,0.48222957198086497,1.1252756782180589,25000
bagging,2017.006100622982,663.4083688569913,2.0403687913948843,0.9632887660295366,0.6520003698726742,-0.3231516935881277,303.2587278106509,1026.948156862745,2.3863762612100397,0.09905136766126274,0.3247051246064711,2.278148825939509,25000
decision_tree,2564.7193376238893,548.4384844962103,3.6764029332839634,0.9749104463500156,0.43734257871112714,-0.5514023053619932,193.22250300839525,1190.7091130876765,5.162372883845428,0.047847461860452724,0.337120928133209,6.045743181036922,25000
svr_poly_rbf,3334.164741483167,3484.008537953309,-0.04300902102787851,-0.000695717705406329,-0.0036428152558523053,4.2360536860632925,2843.6166606970746,2715.8498186459005,-0.04493110615685225,0.7413992510838071,0.878635556582829,0.18510445660472996,25000
mlp,2342.740218688324,824.5702754733662,1.8411650145203362,0.9439469859463546,0.5044889572186617,-0.4655537178151101,469.3715791627146,1727.2693849598259,2.679961594694344,0.1011628019978956,0.49503358408351766,3.8934348822585543,25000
xgboost,1774.5586361536486,211.7890727588335,7.378896101851099,0.9963021378448318,0.7156941610158425,-0.28164947777387217,23.235420781423354,809.5854671702665,33.84272890024559,0.005527773518696722,0.3103897994489856,55.15096175687131,25000
ensemble_voting_bg_mlp_gd_xgb,1592.0240510773378,347.88980390280136,3.5762308444145754,0.9900223785927801,0.7711745528338356,-0.22105341302488057,187.1741291081961,919.285278449325,3.911390707836187,0.04924978794926452,0.3281128886344658,5.662219317014658,25000
adaboost,2508.0372643297937,2287.143643261479,0.09658056314876617,0.5687486154426404,0.43209846739246105,-0.2402645814686134,1832.6759869239188,1878.6622994284714,0.02509244014362788,0.5146211291658023,0.6498674350193454,0.2628075261363181,25000
random_forest,1745.141250633061,798.0426228894095,1.1867769973420303,0.9474955885364608,0.7250420764972514,-0.23478052534557958,416.1908167995624,842.4387072929334,1.0241645737672584,0.12604380215172847,0.320659302868721,1.5440307051569193,25000
ridge,2307.0473743152324,211.72372187173121,9.896499239291256,0.9963044195611194,0.5194726666875675,-0.4786004593692361,22.16981083976339,1715.5290056753747,76.38131001994981,0.0053857109879404215,0.4900902751909789,89.99825005247764,25000
gradient_boosting,1608.1695011000315,214.43342365317582,6.499621438218893,0.9962092200119528,0.7665097695586378,-0.23057350387758802,39.73554674433431,692.2013730129357,16.42020507397783,0.010297730914304585,0.2564956436232352,23.907976889057853,25000
elastic_net,2415.4684657005746,1078.1667173561304,1.2403478300867623,0.9041669164362947,0.47324603296264356,-0.4765943938449917,788.7511271613188,1805.5151905279654,1.2890809640119776,0.211605382944977,0.5584307722739507,1.639019690813619,25000
bagging,1773.3861802587828,716.1445959504363,1.4762962539781803,0.957719018709672,0.7160697202473455,-0.25231753128166845,344.76813806706116,810.9081167507003,1.3520390291778348,0.10117298778672944,0.30776104646954944,2.0419290089396522,25000
decision_tree,1808.0568120295427,679.6599810615772,1.6602372692379141,0.9619173625557295,0.7048592231910045,-0.26723515903876005,258.07897415929034,744.715420404204,1.885610588116156,0.047091014400850936,0.2729156783174285,4.795493721887141,25000
svr_poly_rbf,3253.3999443855682,3518.625904593177,-0.07537770919647513,-0.008085434904946176,-0.003877632922320906,-0.5204175201572885,2804.3657601608934,2635.246024696561,-0.06030587659672093,0.7421434460657679,0.6849505745785204,-0.07706444325613448,25000
mlp,2619.063418667968,1201.4569853805756,1.17990610611694,0.8824648943206663,0.34942421041875527,-0.6040361348450616,705.2003827456012,1883.5283673003146,1.6709122873232918,0.15878057823069539,0.4529207747856261,1.8524948065598346,25000
xgboost,1689.3669744911847,74.21431731568502,21.763356662099767,0.999551537078099,0.7293214334347564,-0.2703513461979984,13.56255819106243,852.2423636546415,61.83787701764549,0.0026936133465272497,0.2970406166166006,109.2758927889785,25000
ensemble_voting_bg_mlp_gd_xgb,1545.103579687045,346.28093538294274,3.4619943572069793,0.9902364374585846,0.7735767261594304,-0.21879593913470363,210.67790217866172,975.6384663032497,3.6309482684893863,0.059935232699643216,0.32560185797539,4.432561838995383,25000
adaboost,2323.1971357758293,2303.153122361512,0.008702857495538785,0.5680865051405118,0.4881084090011574,-0.14078506603421692,1793.5973467318047,1807.062437323823,0.0075073096068933864,0.534122597282899,0.5244883054689599,-0.01803760384404096,25000
random_forest,1578.3534584457843,831.3400639573961,0.8985653727939071,0.9437258984905191,0.7637268341071062,-0.19073235636673724,410.28273565450115,820.2828407142149,0.9993111321285879,0.12128781829467009,0.2840698015850413,1.3421132111956258,25000
ridge,2190.1785890546153,73.86476522448278,28.651195429897225,0.999555751682033,0.5450486833801136,-0.45470907204233857,11.607147397624336,1671.5539310778443,143.0107438818228,0.0024685722707186767,0.44068502734462794,177.5181793427223,25000
gradient_boosting,1809.875068972672,79.20042301791113,21.851835886828148,0.9994892526158883,0.6893273202621729,-0.3103204277003998,26.057503468517464,824.7990342173576,30.653033653583716,0.006759710096841108,0.312969883419363,45.299305581997885,25000
elastic_net,2240.0893360385,1112.1636303723747,1.0141724426723728,0.8992863058189529,0.5240771623965081,-0.4172299088672913,807.1560710359719,1689.3784380686031,1.093000968078346,0.22194408002485896,0.46161672500233214,1.0798785214303916,25000
bagging,1599.9930702056631,710.2419060413072,1.252743827977687,0.9589263086813908,0.7572036959227991,-0.21036299758630905,341.89323471400394,826.5863921568626,1.417674022851923,0.10531217621154969,0.2937231694377642,1.7890713116376689,25000
decision_tree,2916.944048958156,501.8216680918443,4.812710439646245,0.9794954629611506,0.19302131110273424,-0.8029380243179443,136.51001181963676,1088.8689602004572,6.976476931517085,0.0421085305849407,0.433321523217331,9.290587612484869,25000
svr_poly_rbf,3979.7658928293413,3426.325625722935,0.1615258815307823,-0.051037686120293246,-0.059632539536942586,0.16840209793977934,2681.723012772839,3017.1937843155324,0.12509523539339162,0.6636673353483638,0.6780113644363402,0.021613281721100774,25000
