tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
svr_poly_rbf,3711.460733723049,3430.1068735778977,0.08202480870564677,-0.009430099491971378,-0.010142056667643562,0.07549837372111834,2724.813908102608,2834.6070010667527,0.04029379497721286,0.6923741117197678,0.7227327289434501,0.04384712933341106,25000
mlp,2806.8190810106844,946.5594785868864,1.9652854833813187,0.9231300206433399,0.42227447864121004,-0.5425622943700584,524.6510147724904,1850.6331191489255,2.5273602204913943,0.1111274996250686,0.40777860107123737,2.6694661757623943,25000
xgboost,2214.468430379011,237.9283694375178,8.30729040683209,0.9951431643958459,0.6403900502533291,-0.356484500758128,33.49006983980219,1040.4118022512882,30.06627747353284,0.007423336311932688,0.28455444551879805,37.332420028092926,25000
ensemble_voting_bg_mlp_gd_xgb,2166.512305203063,377.00205617363986,4.746685647266627,0.9878059383980418,0.6557966975813305,-0.3361077595414559,210.40851146186253,1172.9558974602037,4.574659928492518,0.04729702028203522,0.32431585508498184,5.857003953971418,25000
adaboost,2943.8492442933657,2112.262990495446,0.3936944677532155,0.6172132236175738,0.3644878699424736,-0.40946198818269186,1689.421800565174,2040.1128914497529,0.20758054073130805,0.48068477490298944,0.5628175479005569,0.17086618359015704,25000
random_forest,2307.705801986132,749.7756792050226,2.0778616404748718,0.9517692911552548,0.6094707237177093,-0.3596444754191055,388.5299330169225,1069.8952753112615,1.7537010263367843,0.10892448016766372,0.3274137545905643,2.005878514054761,25000
ridge,2588.922593599641,237.88063688720715,9.883284270115679,0.9951451129309946,0.5084917137270093,-0.48902757284377163,32.362620974612305,1780.4502802535983,54.015639235472264,0.007205656056966496,0.47297710019556327,64.63969976589217,25000
gradient_boosting,2349.4757685975896,239.2852896285159,8.818722129743492,0.9950876087606394,0.595205453224716,-0.4018562305624207,46.04939444094619,1105.7014063146762,23.011204050307967,0.011195905186957136,0.3462108003435857,29.922984302056253,25000
elastic_net,2697.1163425461077,1103.9787282364864,1.4430872385145728,0.8954359592496207,0.4665520214176212,-0.47896662335451234,808.375006801037,1848.421903995593,1.2865896254144578,0.2212754852331404,0.4738056457639142,1.1412477991617682,25000
bagging,2167.703946280764,675.8583450729938,2.2073347352789563,0.9608102666913778,0.6554179509711775,-0.3178487223828713,324.9917505319149,984.6563216312056,2.0297886639264413,0.0938146285700047,0.2941769401193653,2.135725681628103,25000
decision_tree,2572.4854401714674,490.59981459896596,4.243551594641979,0.9793502068133166,0.5147131049925364,-0.4744340671889491,148.21335590167715,1178.9824690675753,6.954630417043504,0.03277238856164562,0.31343999238157144,8.56414854510783,25000
svr_poly_rbf,3341.182592178916,3507.108744915567,-0.04731137948807629,-0.001480578428960433,-0.002727021585684053,0.8418622967503264,2874.0208666210665,2736.813644516313,-0.04774051006319424,0.7969354339666493,0.6785651204436152,-0.14853187407398905,25000
mlp,2505.5802168204536,1086.4723145764199,1.3061611264317374,0.9038871633174752,0.43610412045775715,-0.5175237151757371,690.8308767230062,1708.6407349345116,1.4733126333894364,0.1525527735924742,0.37519408622663647,1.459437985892809,25000
xgboost,1941.2324315745363,114.0411109165419,16.022216076053294,0.998941070747839,0.6615165997241416,-0.33778215843211934,20.196961731606343,854.6187925947473,41.31422547369337,0.004470798742424986,0.20056486123067815,43.86108026457274,25000
ensemble_voting_bg_mlp_gd_xgb,1750.9776350401344,343.5114713736127,4.097290137177754,0.9903921424304214,0.72461296108956,-0.2683575221918053,214.6257438897352,960.2475705512702,3.474055875816096,0.05954602139679918,0.2268695394661428,2.8099865304911518,25000
adaboost,2593.185533976649,2315.25209925966,0.12004456655318996,0.5635438270106156,0.39598255918695346,-0.29733493615307705,1819.5184150847094,1913.1202874720818,0.05144321245191397,0.5263304755659747,0.46772790835557604,-0.11134177086626418,25000
random_forest,1867.8432114213854,809.0592265824646,1.3086606642029346,0.9467027627860083,0.6866258744553873,-0.27471863245149164,411.03355081825237,874.1245218237303,1.1266500510325592,0.13198071636065312,0.21562718593818528,0.6337779630545282,25000
ridge,2465.520569975429,113.51684850758569,20.719424053696066,0.9989507844507441,0.45399130481528194,-0.5455318601457415,16.3332662276932,1678.8853322652412,101.78932020459422,0.0037767738942213703,0.3623945342748022,94.95346304137554,25000
gradient_boosting,1816.8556565941274,120.28001309986409,14.105216650464268,0.998822038760238,0.7035010572045071,-0.2956692684938055,37.04295556841452,787.2359731548748,20.2519752021658,0.009806898526084764,0.18999270093792703,18.373372777599073,25000
elastic_net,2462.2240646877735,1122.485353865833,1.1935467186345798,0.8974099047351192,0.4554504021659447,-0.49248342394841726,834.9155984835709,1630.5862157142826,0.9529952712296448,0.22680702040479359,0.374195122921968,0.6498392433096809,25000
bagging,1800.2790357399037,681.1225405036811,1.6431059445024698,0.9622258611481193,0.7088867674417156,-0.2632844365709748,331.32602508865244,828.5967439716312,1.500850163369825,0.09199726548101211,0.2055977443474317,1.2348245164946374,25000
decision_tree,2007.1493739994994,494.5570223067212,3.0584791711938886,0.9800851604045878,0.6381390766290346,-0.34889425693823883,158.30447831423896,786.4489482178577,3.967951359258036,0.027156167210001362,0.18769510201504483,5.911693412534243,25000
svr_poly_rbf,3224.9214352239896,3534.1618121777306,-0.08750034474601176,-0.000863671084089912,-0.007807743907111586,8.040182137554075,2873.949457016392,2737.0778779264665,-0.0476249082097705,0.7798998801332039,0.7467556703710313,-0.0424980316146627,25000
mlp,2190.9158607219247,1664.3899880587157,0.31634765676362275,0.7780208135774387,0.5348523705317114,-0.3125474779107873,1130.8080457484841,1669.2056017235736,0.47611754974622866,0.26813772118811846,0.4663200472400353,0.7391064754849515,25000
xgboost,1369.4874939184917,221.47848657544884,5.183388351138847,0.996069342885822,0.8182578947114039,-0.17851312204756853,31.048666958098718,698.326896505153,21.491364844988997,0.006858889121397985,0.18822249811173916,26.442125799137497,25000
ensemble_voting_bg_mlp_gd_xgb,1243.052738685478,351.58777508262415,2.5355402740989987,0.9900946551948371,0.8502666563670844,-0.141226899967697,169.78573008002164,785.0277992621036,3.6236382697892955,0.040933172980629505,0.22437204463843766,4.48142321497079,25000
adaboost,2243.8821908052514,2475.4435788537944,-0.09354339158712033,0.5089698827144635,0.512090227709459,0.0061307065525251225,1959.4679887254924,1764.409821481704,-0.09954649341868615,0.5522464947216101,0.5012695941075545,-0.09230823753757522,25000
random_forest,1347.4221507438785,849.5821586443302,0.5859821643311656,0.9421620577722067,0.8240672146478064,-0.1253445117537868,417.2519421395078,687.6510252839657,0.6480475123925253,0.1149296069592728,0.20745630634309167,0.8050727904830235,25000
ridge,1944.5143758396068,221.25570094706475,7.788539086298302,0.9960772466194767,0.6335947145843763,-0.3639100614588947,27.60234038754759,1417.8054659725176,50.365407645365494,0.006008374248141065,0.38455331289314604,63.002889469164344,25000
gradient_boosting,1567.7784551536515,231.7460050354404,5.765072195802878,0.9956964527209733,0.7618180770536063,-0.2348892325851314,65.2508132791884,646.438711300214,8.906983205470546,0.016192424581164135,0.2027776778440722,11.522996591872577,25000
elastic_net,1917.0808768580112,1185.8176337299512,0.6166742864397241,0.8873223256977674,0.6438603862081954,-0.27437824163628455,858.5996226862552,1471.884915169552,0.714285536912471,0.23191946496441068,0.4145623436362798,0.787527164655613,25000
bagging,1257.2579967231356,775.6841370647647,0.6208375763370324,0.9517861418101918,0.8468248809689047,-0.11027819825329921,363.12954907548124,647.4504932624113,0.7829738585328683,0.10222083092057845,0.1951244084757191,0.9088517156285207,25000
decision_tree,2535.238370340326,730.6561735746948,2.469810373238637,0.9572212409397237,0.37715926051074833,-0.6059852786587943,234.6390080601483,910.0878761641726,2.8786725348364794,0.06358172207849762,0.3049834028973525,3.7967150452581606,25000
svr_poly_rbf,3489.90627774235,3470.722318287759,0.005527367992970156,-0.00013342768456192644,-0.02014629186890593,149.99034308397697,2812.4538981470573,2982.991487687347,0.06063658133299388,0.7361809944808299,0.92154939257541,0.25179731544863615,25000
mlp,2261.373087419376,976.7648707983739,1.315166274940875,0.9207866701681053,0.5716691393189426,-0.3791513736677198,536.3039911949991,1676.5441435847017,2.126107899829359,0.12247169959565042,0.4863584700689405,2.9711906642488817,25000
xgboost,1839.160859366098,212.6345399566314,7.64939844552635,0.9962460729405401,0.7166818751074704,-0.2806176158947381,28.339887468053938,849.7850082592254,28.985475743936643,0.0062758324255681695,0.336334605033712,52.59203086166894,25000
