tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
svr_poly_rbf,3599.723558035347,3403.0879990877183,0.057781508735695875,-0.010515667314685118,-0.0015610861497621364,-0.8515466395953701,2734.7249267165503,2884.4930542452503,0.05476533528676297,0.6931103325446369,0.8510165179201756,0.22782258171770864,16904
mlp,3123.2049334937406,1183.039695195348,1.639983211195652,0.8778776012084959,0.24605423518137903,-0.7197169231306755,723.2981623717073,2422.5016293263448,2.349243445307423,0.1797284902654529,0.6571520671376725,2.6563600248746377,16904
xgboost,3135.0603257718944,236.10748839678405,12.278106285656445,0.9951357463309394,0.24031955717878484,-0.7585057535468483,55.67668089917426,2121.7937348632813,37.10919940981521,0.014139383884340384,0.6156533074325018,42.54173509033507,16904
ensemble_voting_bg_mlp_gd_xgb,2946.2900739114248,579.2062670177578,4.08677174555001,0.9707272720274508,0.3290500155096485,-0.6610273297232103,381.8292236659504,2116.5730089696735,4.543245193881211,0.10117421882193163,0.6258130236402971,5.185498943577107,16904
adaboost,3279.4355797568346,2620.21604456237,0.2515897635855322,0.40093920890918133,0.16873910534326575,-0.5791404242993664,2153.9546112635544,2559.6016492369677,0.1883266415421132,0.5842269482786434,0.7751238669106726,0.3267513064819838,16904
random_forest,3162.336670686493,1393.4308682775818,1.2694607552331991,0.8305788807259977,0.2270429719374072,-0.7266449012778269,1050.5073531455619,2290.304691204339,1.1801891099061987,0.3221810688086051,0.7166591833363423,1.2243988015387735,16904
ridge,3267.620404508139,232.8610451003479,13.032490505657604,0.9952685922500283,0.1747180614377032,-0.8244513463016916,38.019009306147574,2453.748717024991,63.540048828369294,0.00908951607588494,0.6684784190297337,72.54389534589737,16904
gradient_boosting,3133.979873066259,253.91113785970836,11.342821585076956,0.9943745120888257,0.2408430924645123,-0.7577943827637064,102.7753351162216,2115.3166728661704,19.5819486793607,0.028998760028175703,0.6195533965616109,20.36482373589912,16904
elastic_net,3094.6772294569555,1701.383707622569,0.8189178699620363,0.7474186781404869,0.25976458227189814,-0.6524510426764154,1325.9068346279314,2400.0464342415357,0.8101169490652964,0.34026647489243594,0.6730188872531929,0.9779171235307438,16904
bagging,3168.304324458221,1097.9765905843362,1.885584584979238,0.8948079656894397,0.22412292087297447,-0.749529586831192,735.858393688363,2203.5965780392157,1.9945932491087977,0.1940125368605736,0.6645248709775741,2.4251645884880753,16904
