tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
bagging,2420.4473694353974,860.5256116352597,1.8311438861550422,0.9353702726757384,0.5109461704664028,-0.45360415623865913,571.4829555811319,1600.7800734346506,1.809995876117784,0.15231835245484077,0.40966108037820553,1.706135033835953,16956
decision_tree,3373.21906339444,167.9989311040049,22.587458762740006,0.9971792985992914,0.041097876837538516,-0.9586480364012866,13.45869787524145,1982.0530425531913,160.42705971509565,0.0033083188478882156,0.4787277010425191,151.37915704062024,16956
mlp,2655.6728343501736,344.26102988599916,7.00696233413596,0.9891716930650443,0.4040534769609482,-0.5913107797196606,239.90547498799236,1903.7125573191174,7.343334347737458,0.04770993728006409,0.4695564664438369,9.38450243549875,16956
random_forest,2428.766475039617,870.7194604319868,1.8020194072239064,0.9337792302166414,0.5069842270913539,-0.4569119173368952,580.0305034777953,1611.7541027254304,1.7875146655756389,0.15654120643453862,0.41553756334427605,1.6701787127522771,16956
svr_poly_rbf,3559.0154701823994,3483.3382386628546,0.024123294120389806,-0.059266902484602604,-0.060798587069575395,0.05519992119903032,2727.386996160587,2723.6088662925686,-0.00033619405626157396,0.651202617738653,0.6365451689896646,-0.01880675045120537,16956
adaboost,2803.929526781104,2345.971451219073,0.2015841792126701,0.5194254004283747,0.34151979605867716,-0.33938692367071904,1871.6564637008755,2082.00330251176,0.1168407301760865,0.5487692102648236,0.5650369637193837,0.03529754410633403,16956
elastic_net,2708.6890086943185,1486.8099597736143,0.8264203286959321,0.8069508547615168,0.38411816440486324,-0.5236078548806159,1120.34478162887,2010.1889051864987,0.7953551089998125,0.2862821728610777,0.5089685831260412,0.7834247276413496,16956
xgboost,2513.3522277023903,192.12888586953164,12.88938125902268,0.9965229250907214,0.4707433101566375,-0.5276123193682369,78.93103287313944,1724.4758277925532,20.841040137679425,0.020018981572596423,0.43672894379632227,21.012290841991028,16956
ridge,3013.331856560362,177.75311465847017,17.78197119192198,0.9969370204986893,0.23374149789475443,-0.7655107273241541,31.171008479339854,2231.1139141699896,71.52754019275059,0.007309632340465682,0.5350016519636863,72.9505573320935,16956
ensemble_voting_bg_mlp_gd_xgb,2388.91503232961,555.9199195763292,3.303277542455816,0.9730026775044097,0.5235841715779251,-0.4619076037951519,422.9829153727122,1658.4955031794937,2.9292097810679127,0.11983344339302608,0.4298812028803046,2.5936829372159216,16956
gradient_boosting,2474.1680828369585,1240.9593706687867,1.005474847445268,0.865498914006982,0.48890755826725635,-0.4345689707820986,1015.0321893853219,1766.0952160177355,0.748377390950767,0.28412332149819786,0.4486171623298382,0.5845825312578142,16956
bagging,2531.697366296151,863.4658725638097,1.9391349987379214,0.9351247137323758,0.46105126554202897,-0.5069366174278324,576.6480929923922,1644.5127171935158,1.8532640224367114,0.15461122809937952,0.42839253916692244,1.7887529201500765,16956
decision_tree,3459.5025480068107,163.52897514449006,25.29836714972704,0.9972791796957854,-0.005589436599232944,-1.0056143503486255,12.72189349112426,2048.9764999999998,198.96777985410333,0.0030734489869105254,0.503755681963795,191.32884338887885,16956
mlp,2692.7230513054355,407.2758709801008,6.550936782523303,0.9832961672782968,0.3880094196764361,-0.6060707392068354,303.3274110755045,1888.3812423703391,6.448211512571833,0.06841038804310644,0.46983396473378736,7.634093999225238,16956
random_forest,2526.347244450749,869.7052485551337,1.9072412594881698,0.9341829151989183,0.4637246389963664,-0.5035324896774532,578.4772035996054,1640.779392892604,1.8373016763982115,0.15782272650500667,0.4267651709279706,1.7122454941020002,16956
svr_poly_rbf,3567.650169017834,3489.8632284538157,0.023692301737334165,-0.059063205774591857,-0.06580147154941543,0.25985389115559077,2724.6775240884726,2723.5299973658894,0.00039306303736341697,0.6532775501034687,0.6365231413967392,-0.0206633961112191,16956
adaboost,2860.2422774685015,2365.1479608545355,0.21157569818456112,0.5135590534832237,0.31182929919027735,-0.39319754537662066,1891.7497964629492,2111.3665320084565,0.11690766150077966,0.5603285194320838,0.574464715551023,0.034093910289002306,16956
elastic_net,2789.629961847095,1477.4783539313944,0.8917266845134388,0.810109400394329,0.34710891516362474,-0.5713364340627394,1113.432900936613,2057.108794985975,0.8488525712431226,0.286248964038779,0.511669728550671,0.7917992490260438,16956
xgboost,2585.7483760029086,196.699007329223,13.640789959937669,0.9963279113343964,0.43869122936124194,-0.5596462321989742,91.16395953838642,1755.665970614819,18.553117168787537,0.023408326674743095,0.4466264181925996,18.591952444642903,16956
ridge,3170.0864010242867,173.99287481355822,19.79212476158859,0.9970509657036605,0.15491168631977306,-0.8446824920839378,30.22278689002575,2324.5305018114195,77.1678413849925,0.007012440048700266,0.5530788229044671,80.14471244763658,16956
ensemble_voting_bg_mlp_gd_xgb,2467.789744221228,574.6486757405517,3.325907840162362,0.9710982079253748,0.4887485408664852,-0.4965700065130306,440.81974351257594,1696.2122851668842,2.867135576642883,0.11820109214291996,0.4344527387135232,2.6947060850914433,16956
gradient_boosting,2520.2926981755877,1251.7918972899045,1.0168607781709869,0.8635710950375544,0.4660241657860863,-0.4599780719848724,1023.6012407952519,1791.891671373535,0.7534470078788477,0.2884060210610809,0.462477110742746,0.616691457905386,16956
bagging,2502.7293296920066,865.9148372986783,1.9132861213369412,0.9343491619688195,0.47496031444397036,-0.491109126955619,577.4004054226542,1659.1236524822696,1.8851828055868143,0.1541767962170723,0.42739252572350483,1.7752980533174618,16956
