tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
svr_poly_rbf,3500.2413396570278,3427.9403729649666,0.02180147565860948,-0.018603809929281033,-0.026432385778696287,0.6866946830819123,2735.416536379001,2744.679099121139,0.004415852170451507,0.6959978117243314,0.687222352547922,-0.011120997592590776,16904
mlp,3150.753920729791,1114.531658954537,2.049452958335822,0.8786500317533328,0.16797893773349942,-0.8057511899459554,605.0916271615628,2386.027707544862,3.8901375353835648,0.1466898900264959,0.5930741820211963,4.063553143821755,16904
xgboost,3034.3432365898275,184.05098026972718,18.429489027876656,0.9967971466600767,0.23114946807871778,-0.7679909900641964,45.97848271404921,2129.0608985933345,47.53711363162415,0.010940946465044054,0.5538570829582767,53.269868199674455,16904
ensemble_voting_bg_mlp_gd_xgb,2831.5529369214623,472.14626000774354,5.0833033362544615,0.9805875477058063,0.33097116979207236,-0.6623902114960915,294.07715404673024,2030.532976277373,5.937195608817428,0.07580730142992935,0.5294415536224425,6.081136939531767,16904
adaboost,3205.486800375069,2794.7708975356486,0.14920802673854636,0.32310930781379127,0.1405647967468353,-0.5646301846670102,2298.518174723882,2491.1017642327497,0.0858629360207251,0.6257139090131828,0.6418228923726197,0.028487452483944197,16904
random_forest,2901.844828465103,1419.6192123378314,1.057349657756666,0.8252859566982519,0.29726822806920794,-0.6387138723341816,1097.3391630008882,2078.7259619059364,0.9057574202038496,0.3301511180518336,0.5539643576230872,0.685359710450654,16904
ridge,3376.5627265982575,181.3367568893355,20.823173012737254,0.9968794928536282,0.041657310362879715,-0.9581529656606579,34.487061751415936,2551.158999715986,76.44187966357957,0.007884835525131018,0.629759500928912,84.0522448877273,16904
gradient_boosting,3001.078392148109,232.256961438302,14.074138555473217,0.9949550137099745,0.24857859036845462,-0.7499189184546025,135.4201097841648,2030.3849156956755,15.861999202209423,0.03728508473770289,0.5144618164307859,14.498661254288763,16904
elastic_net,3017.685367166107,1698.2982584651388,0.781231270560746,0.7500660627887035,0.2380808696438054,-0.6822878696985804,1309.9673341353841,2319.485390451083,0.7751818815728397,0.3369495919340785,0.595721818587789,0.770085658244246,16904
bagging,2912.6713951815827,1076.9259945217204,1.7100627916710025,0.8994646991058299,0.2918509769896594,-0.6754879923156112,744.0512352606369,2026.5668739716311,1.7321107035876016,0.19181544778454013,0.5271720989042553,1.7495483435945645,16904
decision_tree,3830.684149699856,1537.8585447296005,1.528555876142852,0.7942803400501812,-0.23660032630035172,-1.2906930754857933,948.5781093254166,2521.439064939731,1.7159037097442198,0.32844473971965743,0.628360887289738,0.939851640466466,16904
svr_poly_rbf,3502.2337051325435,3431.1704739164406,0.021606676580263096,-0.021218994488376407,-0.02636452075708471,0.011704649235233955,2732.4702329323054,2743.114974666811,0.004964534584091807,0.6939169928698534,0.6798752530739448,-0.016163120619929174,16904
mlp,3081.8625640634045,1140.592855660692,1.819127374924998,0.8814285992797922,0.2004546285333746,-0.7690231179439663,646.3859076337137,2330.185618824226,3.0339478719925355,0.14517780194834132,0.5470277652374615,3.464090443299779,16904
xgboost,2945.345343461647,183.11516056477376,19.170483509279713,0.9967529654451447,0.2722673419434266,-0.7267405385249491,54.945067232572114,2085.045349952211,40.871385518270884,0.013441514492724127,0.545971377700676,44.38230399166658,16904
ensemble_voting_bg_mlp_gd_xgb,2763.315394019136,508.07490864387216,4.457810964083192,0.9775296532302136,0.3597246617437927,-0.6321949993041456,326.7611940365101,1996.1439219851388,5.113311525906225,0.0830458331892549,0.5157145525926131,5.222636377046493,16904
adaboost,3188.5030698726205,2810.9658290928305,0.13984693770068718,0.31508402969526805,0.14823365887124065,-0.5201543440353757,2320.475208984247,2488.387699299415,0.0750191942428993,0.6373659419694891,0.6458014766002466,0.014774349637623075,16904
random_forest,2868.6512537525764,1426.9900098450416,1.0286571835951193,0.8233933543087861,0.31153720552564906,-0.6199842675523308,1099.480231689521,2078.2195708545196,0.901758715736305,0.3363573303445295,0.5528055523112766,0.6504023829913848,16904
ridge,3349.7722176753114,177.6850590290745,22.168417532880554,0.9969279377802807,0.04715011730044667,-0.9527896818362434,34.654437491192866,2485.0240731529575,74.59842491021104,0.007947378844139808,0.5934810168150502,78.0698016618433,16904
gradient_boosting,2975.395036837541,223.24226989283616,14.306860708357707,0.9953655896782134,0.2505899360277953,-0.7481348020483567,125.78202572874326,2024.5341852224694,16.043001643792184,0.03465921744426702,0.5257289397905125,14.924403554006688,16904
elastic_net,2983.600263890138,1707.0965385465965,0.7510652464787995,0.7473261784979994,0.25124734199008303,-0.663705986950634,1320.4939704636784,2279.504520655567,0.7270384767763114,0.3401982268412714,0.5725944118696394,0.6892104623669745,16904
bagging,2821.0865224640675,1069.2706863458648,1.6570542708805611,0.900867400517542,0.33500582086179964,-0.6276285863179856,740.0387949873206,1994.406910243161,1.7092430078460226,0.1932969965659796,0.5116341825837842,1.6624942426986475,16904
decision_tree,3753.5142869767833,1424.4051816072918,1.715293293173605,0.8213618263252169,-0.21138099164896085,-1.2468784651487643,905.1179902605996,2514.1233120453408,1.8354045046949736,0.3040957840044279,0.6321041321576125,1.1044600418603678,16904
svr_poly_rbf,3537.2684978400184,3427.477552844791,0.0322516003247427,-0.03656162525861739,-0.04180016402017439,0.193761528585963,2715.145249107568,2729.799985698727,0.005759762952403835,0.6760362976742016,0.6624275510009829,-0.019816019605509806,16904
mlp,3142.166566262428,1208.1155522120462,1.7648283033276346,0.8639474930218561,0.17613173583017294,-0.7952154429616894,680.4793334836484,2387.0066092683683,3.3431223756238553,0.15720038517588053,0.5868285791652443,3.704055970327431,16904
xgboost,3079.227729443143,201.0224087109399,16.891601496546695,0.9961345975260884,0.20913989298367022,-0.790103285420102,49.3834787543483,2134.035954413231,43.23866327035787,0.012238122230407263,0.5671673065437296,46.59448584463557,16904
ensemble_voting_bg_mlp_gd_xgb,2813.455364441434,522.3153171358678,4.549982830362971,0.9752408160775395,0.3402016084951,-0.6512191967186676,339.0316984972449,2018.5758840660644,5.263122764601674,0.08665088029536015,0.5277012493362544,5.274562364721082,16904
adaboost,3159.2496423850143,2761.565010873931,0.14536610033171765,0.32706328154121134,0.16893582615581634,-0.4788642791960479,2276.9520294239755,2441.685898028353,0.07310581410755601,0.6230590005760431,0.6356014580659649,0.019004163487846993,16904
random_forest,2842.9474595101306,1395.0807562013401,1.0417361429798058,0.8281725873219736,0.32683293595343643,-0.6051045953974604,1073.3132540982747,2049.890398165338,0.9124340388220057,0.32595855352372377,0.5395476796718912,0.6598896917109167,16904
ridge,3459.904815075405,197.35132258926257,19.656698358877374,0.9962430058388625,4.688695584116331e-05,-1.0000964943399533,34.879513207733304,2600.5508557973217,77.27940675147883,0.008123817054016325,0.6303996429671128,81.2408652701594,16904
gradient_boosting,2957.690846185697,242.6465748453511,11.465521538240413,0.9947063853794462,0.26870063540412625,-0.7299128596864122,124.53054343044948,2009.3568361997252,15.402438995323601,0.034349088575423445,0.5203958121846994,14.394862002771172,16904
elastic_net,3034.3409694008415,1698.1186651812773,0.7886627924537309,0.7456105719471946,0.23300361569534092,-0.6869683198135668,1310.9350457158512,2316.078896231885,0.7675637461522008,0.3379728414526394,0.5892898549119758,0.7450639360302527,16904
bagging,2895.4695399259463,1063.8054118905702,1.7249908277632364,0.9001151853960014,0.3009853472238485,-0.6656237154244746,729.4225013806706,2026.019846808511,1.779668605639141,0.19144170133148247,0.5244611889432407,1.7458606757603317,16904
decision_tree,3713.631723937782,1349.889060831796,1.783943919253796,0.8379005834502108,-0.1528573079589567,-1.1800834741436321,828.6614989346432,2462.6560238542893,1.9915073894940576,0.29124151133792553,0.6213528179402094,1.1492021922949762,16904
svr_poly_rbf,3508.0011625010616,3427.58072807321,0.023592224716475506,-0.018285755461057464,-0.025197268733639876,0.2982782885374574,2736.5041323267446,2745.0739813647638,0.0033862264479178616,0.7024796974218028,0.6852513172190917,-0.021461229916010315,16904
mlp,3048.976604455762,1124.1878307508348,1.7267518101481003,0.8895461555121116,0.22015746221130628,-0.752527581577179,628.1103077092432,2309.5532039395403,2.786608611221766,0.14212904687445035,0.5440109629927136,2.8930832000583906,16904
xgboost,2990.389731621889,206.92745327232373,14.570237996382843,0.9961248387887831,0.25142554136428064,-0.7475804800563278,52.24813955237033,2099.134652026886,40.697459645178,0.012914831649784592,0.5339556363411677,40.999249827207834,16904
ensemble_voting_bg_mlp_gd_xgb,2795.4429798917663,539.5577421729552,4.5427404771134725,0.9730113392525075,0.3456470284078716,-0.6441647601914284,360.90526843492955,1991.5131491463435,5.035889744250385,0.09296008092533561,0.510564606672813,5.232391230227277,16904
adaboost,3210.4252754505774,2790.9709419579767,0.15168523002725723,0.3247539116755941,0.1403553342019479,-0.5626874622982302,2306.367253450438,2470.3833013529365,0.07168447268414146,0.6325317728323554,0.6397516316923437,0.013792171137684295,16904
random_forest,2903.2301458490947,1410.5822401116388,1.0627871548603018,0.8275371981230675,0.29665313487169565,-0.6412111420715099,1080.5036782107727,2068.3082404570955,0.916606935484759,0.328531567669048,0.5438799482718112,0.67229407799348,16904
ridge,3221.639623464721,202.74230129836778,16.38157953290821,0.9962608976343283,0.1303855327248426,-0.869080659655339,35.58926660534545,2424.043060801139,68.87050045315303,0.00829765372946907,0.5813000302623048,70.25751184614884,16904
gradient_boosting,3029.5920073430443,242.39760044485848,12.135700279687596,0.9947692803072545,0.23216178977967475,-0.7665343230625237,124.82993901370102,2068.7063230991193,15.938566303126688,0.034602137989528846,0.5264568735527868,14.742324178098112,16904
elastic_net,2952.297216148323,1711.942295178687,0.7266202662426721,0.7459222168829134,0.26868534614650147,-0.6383857121070192,1321.9741988990622,2262.853983073965,0.7139365232837858,0.34060607813149646,0.5742201823605103,0.6972504588297753,16904
bagging,2909.653531819455,1071.0926965484612,1.721575109585586,0.9004714389592939,0.2933837837693279,-0.6739011441300046,738.6154217159763,2005.6126119148935,1.716474356610206,0.19381193874928426,0.519323921878471,1.7007444869170165,16904
decision_tree,3832.4204125164133,1356.8943432406686,1.8627455157735961,0.8382711862007033,-0.23570867884324365,-1.2878713417147973,861.6310558736681,2469.399805628667,1.8792115391368802,0.30163432281653735,0.6198524388958212,1.0565635942472995,16904
svr_poly_rbf,3524.6662964302245,3460.8747164940446,0.019065271957787823,-0.036757894978545244,-0.039281458995606755,0.708535889052715,2742.529857251668,2733.2180278026276,-0.0027135628947332568,0.6867417734123455,0.6685184436349995,-0.026142838556486227,16904
mlp,3078.553751786629,1019.8338358343575,2.092174279718152,0.9076982227742109,0.20699571154198945,-0.7705126034402756,515.9423546905967,2343.560442873052,3.796747119835893,0.11635582833743711,0.5617944515554782,4.080217030639066,16904
xgboost,3100.201610300107,185.29830236844845,17.614813457801183,0.9967537704344659,0.1940568719731413,-0.805279100820856,51.48640224587706,2168.38171249065,41.58281224349359,0.012707816566890118,0.5529013641033182,42.85936546712756,16904
ensemble_voting_bg_mlp_gd_xgb,2844.6758776775923,459.9916107618152,5.19879692519001,0.9816713607061317,0.32329170580709243,-0.6706590447500037,285.79188149577,2038.6950455469582,6.16890735084669,0.07495055389451342,0.5230160075257337,6.017432780988488,16904
adaboost,3184.8945964519635,2815.5647999893135,0.13640416082210047,0.3140016884291114,0.15109814903859567,-0.4995525178586474,2316.1407430640506,2476.4776484292343,0.07267488923227916,0.6379044264892239,0.644850764900216,0.015090683042679664,16904
random_forest,2918.5783048700127,1415.5316479643827,1.070743817260817,0.8267148709647891,0.28636445965696244,-0.6529341855357662,1092.835463367414,2098.5742577308097,0.9274654664129113,0.332476551857804,0.5581194328238147,0.6831965232075585,16904
ridge,3325.2498982888924,179.48929438830453,20.00752737529872,0.9968948969265984,0.07463718134477952,-0.9251630740218213,34.10824731706897,2477.4996842719315,73.47702753640338,0.008002861499120098,0.5981344426452713,76.78558233423857,16904
gradient_boosting,3019.86413383925,226.94072013125447,12.69234918826874,0.9953908870503538,0.23542182329932704,-0.7635186349760338,124.44010681190949,2057.2595673602036,15.656141398109602,0.03452299238021511,0.5310196135201899,14.44567954525225,16904
elastic_net,2991.3199007273843,1704.6127556961358,0.7583909433199928,0.7485506369394042,0.25096731778923675,-0.6643602160795309,1316.0289609609947,2294.788765403438,0.7448528356056163,0.34054969552123693,0.5819983763737394,0.712869234876878,16904
bagging,2884.1019058294287,1073.740736995318,1.6929299278949532,0.9002126900549875,0.30497331808186323,-0.6610912467764642,747.0641215018316,2025.7063467375888,1.7155632121936037,0.19711624086823482,0.5204442775449609,1.6434292066304206,16904
decision_tree,3872.2658788462104,1408.4475241460514,1.810525089219621,0.8268189121358084,-0.26554377736733603,-1.3221916245197616,891.1601675022182,2574.9001577024596,1.9547417915942091,0.30577320361666877,0.6554824222920408,1.1874006070979217,16904
svr_poly_rbf,3526.38239563928,3423.661095018483,0.030378045000253873,-0.030184890466356418,-0.04101228708152156,0.20384026723904397,2715.3648973052614,2734.801778210349,0.007728331534603616,0.6798247614987372,0.6674861284543412,-0.01700270691034429,16904
mlp,3096.9681110186534,1155.016837905303,1.7525953726779,0.8788652786947877,0.19246533694355605,-0.7807231833510748,692.2008929442127,2367.6144379350585,2.630027447389692,0.16162718608190632,0.5768159644174642,2.8595096725240716,16904
xgboost,3002.737176235713,207.32549143051997,15.671439068934399,0.9959240366767069,0.23906274876589242,-0.7598399671843483,50.989708164192514,2093.879655065658,41.46664861568745,0.012575099726986557,0.5351644589416595,42.48541655328845,16904
ensemble_voting_bg_mlp_gd_xgb,2779.714087280022,517.6022513557073,4.433664180680156,0.976185336133255,0.3519204265235226,-0.6394945852925991,335.25213079250966,2001.751294994454,5.055658635379734,0.08290648294793478,0.5115868615992986,5.185739008949045,16904
adaboost,3175.521438617304,2778.9528389140246,0.14323085471072536,0.3213572816210587,0.1551679208771437,-0.5168086905890086,2297.6991795843032,2464.663617178926,0.07307911479721678,0.6281735296728225,0.6413156020070162,0.021041728599055308,16904
random_forest,2898.4571713296864,1423.3460151904944,1.0392155508508243,0.8219389007323097,0.29607652227551995,-0.6398438747900705,1090.8580702444083,2075.430243377344,0.9049185679890874,0.3308430669621208,0.5504660663663099,0.6672722116002003,16904
ridge,3282.1792293326,204.12819425764206,17.36555891141818,0.9960346633069994,0.09605426068602659,-0.9035519320654078,36.40347379156616,2514.550520527978,69.53897180778172,0.00842922200633841,0.6084117230716967,73.07187344262029,16904
gradient_boosting,3008.6683263749646,242.2614235156972,12.04329686150436,0.994605134445558,0.2408648800664035,-0.7578931121591848,123.04938575383221,2048.975391950408,15.874844690791667,0.03360218398924785,0.5357555351484194,15.155825254421597,16904
elastic_net,2970.533189640887,1701.9707501740345,0.7457409324624894,0.7453488780855404,0.2613103220072452,-0.6493104462866633,1314.6683077667544,2276.7594899518153,0.7322568761061456,0.3378844729824926,0.5759306480658565,0.7068159998517315,16904
bagging,2852.7392992606233,1071.6838071976435,1.6639742244275397,0.8990442507595876,0.31789765104430884,-0.6464615615136691,735.4560652944492,1988.936378449848,1.705827261110129,0.19397562063624457,0.5172892052733451,1.6694017209850323,16904
