;Unnamed: 0;algorithm;mse;rmse;r2;adj_r2;mae
0;0;air_transport/word2vec_cbow_10000000_100,txt;32340071,25;5686,83;0,1395;1,8268;4287,23
1;1;air_transport/word2vec_cbow_10000000_100,txt;33697008,26;5804,91;0,1034;1,8614;4391,5
2;2;air_transport/word2vec_cbow_10000000_100,txt;34573700,3;5879,94;0,0801;1,8839;4443,1
3;3;air_transport/word2vec_cbow_10000000_100,txt;33252148,42;5766,47;0,1152;1,8501;4371,28
4;4;air_transport/word2vec_cbow_10000000_100,txt;33871619,39;5819,93;0,0987;1,8659;4401,12
5;5;air_transport/word2vec_cbow_10000000_100,txt;34477827,15;5871,78;0,0826;1,8814;4415,02
6;6;air_transport/word2vec_cbow_10000000_100,txt;34060720,39;5836,16;0,0937;1,8707;4427,67
7;7;air_transport/word2vec_cbow_10000000_100,txt;34260323,98;5853,23;0,0884;1,8758;4398,66
8;8;air_transport/word2vec_cbow_10000000_100,txt;34759051,14;5895,68;0,0751;1,8886;4440,72
9;9;air_transport/word2vec_cbow_10000000_100,txt;33251667,82;5766,43;0,1152;1,8501;4355,46
10;10;air_transport/word2vec_cbow_10000000_100,txt;34805419,93;5899,61;0,0739;1,8898;4425,38
11;11;air_transport/word2vec_cbow_10000000_100,txt;34098467,21;5839,39;0,0927;1,8717;4417,77
12;12;air_transport/word2vec_cbow_10000000_100,txt;35696278,49;5974,64;0,0502;1,9126;4490,44
13;13;air_transport/word2vec_cbow_10000000_100,txt;35567280,18;5963,83;0,0536;1,9093;4474,59
14;14;air_transport/word2vec_cbow_10000000_100,txt;33582187,53;5795,01;0,1064;1,8585;4401,13
15;15;air_transport/word2vec_cbow_10000000_100,txt;34486454,27;5872,52;0,0824;1,8816;4464,65
16;16;air_transport/word2vec_cbow_10000000_100,txt;35316610,8;5942,78;0,0603;1,9029;4456,55
17;17;air_transport/word2vec_cbow_10000000_100,txt;33698232,77;5805,02;0,1034;1,8615;4376,67
18;18;air_transport/word2vec_cbow_10000000_100,txt;33851610,81;5818,21;0,0993;1,8654;4405,86
19;19;air_transport/word2vec_cbow_10000000_100,txt;34293979,14;5856,11;0,0875;1,8767;4396,67
20;20;air_transport/word2vec_cbow_10000000_100,txt;34393027,08;5864,56;0,0849;1,8792;4394,29
21;21;air_transport/word2vec_cbow_10000000_100,txt;34425168,41;5867,3;0,084;1,8801;4441,36
22;22;air_transport/word2vec_cbow_10000000_100,txt;34528447,19;5876,09;0,0813;1,8827;4438
23;23;air_transport/word2vec_cbow_10000000_100,txt;35027380,23;5918,39;0,068;1,8955;4451,11
24;24;air_transport/word2vec_cbow_10000000_100,txt;34889525,79;5906,74;0,0717;1,8919;4448,78
25;25;air_transport/word2vec_cbow_10000000_100,txt;33440410,9;5782,77;0,1102;1,8549;4370,37
26;26;air_transport/word2vec_cbow_10000000_100,txt;34642500,71;5885,79;0,0782;1,8856;4454,16
27;27;air_transport/word2vec_cbow_10000000_100,txt;34033572,86;5833,83;0,0944;1,8701;4387,46
28;28;air_transport/word2vec_cbow_10000000_100,txt;33339660,44;5774,05;0,1129;1,8523;4370,71
29;29;air_transport/word2vec_cbow_10000000_100,txt;34399819,8;5865,14;0,0847;1,8794;4422,14
30;30;air_transport/word2vec_cbow_10000000_100,txt;33899171,78;5822,3;0,098;1,8666;4381,92
31;31;air_transport/word2vec_cbow_10000000_100,txt;34981022,43;5914,48;0,0692;1,8943;4433,12
32;32;air_transport/word2vec_cbow_10000000_100,txt;34267141;5853,81;0,0882;1,876;4409,28
33;33;air_transport/word2vec_cbow_10000000_100,txt;34906878,53;5908,2;0,0712;1,8924;4462,6
34;34;air_transport/word2vec_cbow_10000000_100,txt;33396515,61;5778,97;0,1114;1,8538;4370,2
35;35;air_transport/word2vec_cbow_10000000_100,txt;35097511,92;5924,32;0,0661;1,8972;4433,14
36;36;air_transport/word2vec_cbow_10000000_100,txt;34172776,54;5845,75;0,0907;1,8736;4402,35
37;37;air_transport/word2vec_cbow_10000000_100,txt;34342247,66;5860,23;0,0862;1,8779;4432,66
38;38;air_transport/word2vec_cbow_10000000_100,txt;34088945,32;5838,57;0,093;1,8715;4424
39;39;air_transport/word2vec_cbow_10000000_100,txt;32776868,34;5725,11;0,1279;1,8379;4306,53
40;40;air_transport/word2vec_cbow_10000000_100,txt;35036132,44;5919,13;0,0678;1,8957;4493,67
